benchmarkName,medianAbsolutePercentageError,resultTime,benchmarkColor
frozenMap<search_metadata_data>,0.046228710462287104,41900,skyblue,
frozenMap<search_metadata_data>,0.0022222222222222222,45000,steelblue,
frozenMap<hashtag>,0.009708737864077669,10300,skyblue,
frozenMap<hashtag>,0.020618556701030927,10700,steelblue,
frozenMap<large_data>,0,14500,skyblue,
frozenMap<large_data>,0,15800,steelblue,
frozenMap<sizes_data>,0.011857707509881422,25400,skyblue,
frozenMap<sizes_data>,0.009852216748768473,20800,steelblue,
frozenMap<media_data>,0.0032119914346895075,95000,skyblue,
frozenMap<media_data>,0.0026455026455026454,38000,steelblue,
frozenMap<url_data>,0.02477758988309683,20000,skyblue,
frozenMap<url_data>,0.005076142131979695,19400,steelblue,
frozenMap<user_mention>,0.01152073732718894,21600,skyblue,
frozenMap<user_mention>,0.008097165991902834,24900,steelblue,
frozenMap<status_entities>,0.004694835680751174,21300,skyblue,
frozenMap<status_entities>,0.004048582995951417,24300,steelblue,
frozenMap<metadata_data>,0,7200,skyblue,
frozenMap<metadata_data>,0,7800,steelblue,
frozenMap<description_data>,0,1900,skyblue,
frozenMap<description_data>,0,1600,steelblue,
frozenMap<user_entities>,0,10000,skyblue,
frozenMap<user_entities>,0.010752688172043012,9300,steelblue,
frozenMap<twitter_user>,0.04981773997569866,493800,skyblue,
frozenMap<twitter_user>,0.003156402317048301,248300,steelblue,
frozenMap<retweeted_status_data>,0.0028116213683223993,352500,skyblue,
frozenMap<retweeted_status_data>,0.049067315490673155,123400,steelblue,
frozenMap<status_data>,0.0035416666666666665,214700,skyblue,
frozenMap<status_data>,0.0037821482602118004,282900,steelblue,
frozenMap<twitter_message>,0.008695652173913044,10000,skyblue,
frozenMap<twitter_message>,0,7700,steelblue,
frozenMap<icon_emoji_data>,0.015625,6000,skyblue,
frozenMap<icon_emoji_data>,0.02,4900,steelblue,
frozenMap<permission_overwrite>,0.012944983818770227,32700,skyblue,
frozenMap<permission_overwrite>,0.020348837209302327,34400,steelblue,
frozenMap<channel_data>,0.03487361472515359,298700,skyblue,
frozenMap<channel_data>,0.021206096752816435,151600,steelblue,
frozenMap<user_data>,0.0006591957811470006,151700,skyblue,
frozenMap<user_data>,0.0011682242990654205,83900,steelblue,
frozenMap<member_data>,0.002369668246445498,126500,skyblue,
frozenMap<member_data>,0.025344597598932858,51700,steelblue,
frozenMap<tags_data>,0.005747126436781609,8800,skyblue,
frozenMap<tags_data>,0,8400,steelblue,
frozenMap<role_data>,0.0007541478129713424,132600,skyblue,
frozenMap<role_data>,0.0019193857965451055,55200,steelblue,
frozenMap<guild_data>,0.0207011163404665,678000,skyblue,
frozenMap<guild_data>,0.0036612543775867558,313600,steelblue,
frozenMap<discord_message>,0,13800,skyblue,
frozenMap<discord_message>,0.008824143692564745,16900,steelblue